,EAN,product_name,brand,category,subcategory,purchasable,price,price_per_unit
237,8001841461861,Couches culottes taille 6 : 15+ kg Baby Dry Pants PAMPERS,PAMPERS,Le Monde de Bébé,Couches et apprentissage propreté,True,7.97,0.40 € / Pièce
238,8001841461298,Couches culottes taille 6 : 15+ kg Baby Dry Pants PAMPERS,PAMPERS,Le Monde de Bébé,Couches et apprentissage propreté,True,13.4,0.41 € / Pièce
239,8001841477480,"Couches culottes bébé Baby-Dry pants T5, facile à enfiler PAMPERS",PAMPERS,Le Monde de Bébé,Couches et apprentissage propreté,True,13.4,0.38 € / Pièce
240,8001841527840,Couches taille 4 : 9 - 15kg PAMPERS,PAMPERS,Le Monde de Bébé,Couches et apprentissage propreté,True,21.39,0.31 € / Pièce
241,8001841477503,Couches taille 5+ : 12 - 17kg PAMPERS,PAMPERS,Le Monde de Bébé,Couches et apprentissage propreté,True,25.65,0.38 € / Pièce
242,8001841527925,Couches taille 5 : 12 -17kg PAMPERS,PAMPERS,Le Monde de Bébé,Couches et apprentissage propreté,True,21.39,0.36 € / Pièce
243,8001841497228,Couches taille 5+ : 12 - 17kg PAMPERS,PAMPERS,Le Monde de Bébé,Couches et apprentissage propreté,True,14.9,0.41 € / Pièce
244,8001841527901,Couches taille 6 : +15kg PAMPERS,PAMPERS,Le Monde de Bébé,Couches et apprentissage propreté,True,21.39,0.38 € / Pièce
245,8001841041360,Lingette bébé fresh clean PAMPERS,PAMPERS,Le Monde de Bébé,Toilette de bébé,True,2.04,10.20 € / Kilogramme
246,5025404004657,Lingettes Kandoo Melon lot de 4 paquets PAMPERS,KANDOO,Le Monde de Bébé,Toilette de bébé,True,8.05,0.04 € / Pièce
247,5025404004497,Lingettes Kandoo Melon 1 paquet PAMPERS,KANDOO,Le Monde de Bébé,Toilette de bébé,True,2.29,0.04 € / Pièce
248,8001841041421,Lingettes sensitive PAMPERS,PAMPERS,Le Monde de Bébé,Toilette de bébé,True,2.52,0.03 € / Pièce
249,8001090934444,Lingettes bébé Aqua Harmonie PAMPERS,PAMPERS,Le Monde de Bébé,Toilette de bébé,True,3.75,0.08 € / Pièce
250,8001841062624,Lingettes bébé Sensitive PAMPERS,PAMPERS,Le Monde de Bébé,Toilette de bébé,True,6.55,0.03 € / Pièce
251,8001090934529,Lingettes bébé aqua Harmonie PAMPERS,PAMPERS,Le Monde de Bébé,Toilette de bébé,True,7.8,0.05 € / Pièce
252,8001841041391,Lingettes bébé Sensitive PAMPERS,PAMPERS,Le Monde de Bébé,Toilette de bébé,True,2.04,10.20 € / Kilogramme
253,8001841077949,Lingettes Bébé Pack Fresh Clean 4 X52 PAMPERS,PAMPERS,Le Monde de Bébé,Toilette de bébé,True,5.9,0.03 € / Pièce
254,8001090934482,Lingettes bébé aqua Harmonie PAMPERS,PAMPERS,Le Monde de Bébé,Toilette de bébé,True,6.8,0.07 € / Pièce
