,EAN,product_name,brand,category,subcategory,purchasable,price,price_per_unit
1317,3033490004583,Yaourt nature brassé VELOUTE,DANONE,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.09,2.18 € / Kilogramme
1318,3329770063334,Yaourt à boire fraise banane YOP,YOPLAIT,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.89,2.29 € / Kilogramme
1319,3329770063297,Yaourt à boire vanille YOP,YOPLAIT,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.69,2.05 € / Kilogramme
1320,3280241101507,Yaourt de brebis vanille LE PETIT BASQUE,PETIT BASQUE,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.72,6.80 € / Kilogramme
1321,3560070443475,Yaourt grecque mûre framboise CARREFOUR,CARREFOUR,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.02,3.37 € / Kilogramme
1322,3560070971572,Yaourt grecque pêche passion CARREFOUR,CRF CDM,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.18,3.63 € / Kilogramme
1323,3560070372591,Yaourts lait entier vanille CARREFOUR BIO,CARREFOUR BIO,Bio et Ecologie,Crèmerie,True,3.06,2.04 € / Kilogramme
1324,3560070542642,Yaourts aux fruits CARREFOUR BIO,CARREFOUR BIO,Bio et Ecologie,Crèmerie,True,2.97,2.97 € / Kilogramme
1325,3523230052856,Yaourts nature au lait entier CARREFOUR,REFS.SANS MARQUE,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.92,1.92 € / Kilogramme
1326,3560070542550,Yaourts Bifidus aromatisés CARREFOUR,CARREFOUR,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.84,1.89 € / Kilogramme
1327,3560070778157,Yaourts à la vanille CARREFOUR,CRF CDM,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.19,2.38 € / Kilogramme
1328,3560071085612,Yaourts au lait de chèvre nature CARREFOUR,CARREFOUR,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.98,4.30 € / Kilogramme
1329,3560071085629,Yaourts au lait de chèvre vanille CARREFOUR,CARREFOUR,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.95,42.39 € / Kilogramme
1330,3245412570667,Yaourts Bifidus citron CARREFOUR,CARREFOUR,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.01,2.02 € / Kilogramme
1331,3245413814449,Yaourts fruits mixés CARREFOUR,CARREFOUR,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.98,1.98 € / Kilogramme
1332,3033490545185,Yaourts 0% nature ACTIVIA,ACTIVIA,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.14,2.14 € / Kilogramme
1333,3033490907730,Yaourts aux fruits 0% MG ACTIVIA,ACTIVIA,Crémerie,"Yaourts, desserts et spécialités végétales",True,3.94,2.63 € / Kilogramme
1334,3033491325236,Yaourts assortiment aux fruits ACTIVIA,ACTIVIA,Crémerie,"Yaourts, desserts et spécialités végétales",True,4.9,2.45 € / Kilogramme
1335,3578840000032,Yaourts caille de brebis vanille BASKALIA,ESNE ONA,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.75,7.00 € / Kilogramme
1336,4008471483342,Yaourts Stracciatella bio BYO ESSENTIEL,BYO ESSENTIEL,Bio et Ecologie,Crèmerie,True,1.79,4.48 € / Kilogramme
1337,3033491010064,Yaourts aux fruits DANONE,RECETTE CREMEUSE,Crémerie,"Yaourts, desserts et spécialités végétales",True,3.39,2.26 € / Kilogramme
1338,3033491339134,Yaourts vanille bio DANONE,DANONE,Bio et Ecologie,Crèmerie,True,1.62,3.24 € / Kilogramme
1339,3760176400154,Yaourts morceaux de fraise KER RONAN,KER RONAN,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.2,4.40 € / Kilogramme
1340,3023290013328,Yaourts sur lit de myrtille Le Liégeois LA LAITIERE,LA LAITIERE,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.13,5.32 € / Kilogramme
1341,3278692311149,Yaourts nature 0% MG MALO,MALO,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.3,2.60 € / Kilogramme
1342,3278692363261,Yaourts lait entier/saveur coco MALO,MALO,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.7,3.40 € / Kilogramme
1343,3329770063525,Yaourts fruits rouges PANIER DE YOPLAIT,YOPLAIT,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.45,2.36 € / Kilogramme
1344,3329770063532,Yaourts exotique PANIER DE YOPLAIT,YOPLAIT,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.45,2.36 € / Kilogramme
1345,3329770065017,Yaourts saveur coco PERLE DE LAIT,YOPLAIT,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.51,3.02 € / Kilogramme
1346,3523230039604,Yaourts lait de brebis abricot SOIGNON,SOIGNON,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.58,5.86 € / Kilogramme
1347,3523230039567,Yaourts lait de brebis nature SOIGNON,SOIGNON,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.48,5.64 € / Kilogramme
1348,3523230014267,Yaourts au lait de chèvre nature SOIGNON,SOIGNON,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.08,4.16 € / Kilogramme
1349,3033491215292,Yaourts aux fruits 0% MG TAILLEFINE,TAILLEFINE,Crémerie,"Yaourts, desserts et spécialités végétales",True,3.88,1.94 € / Kilogramme
1350,3273220540633,Yaourts bio brebis citron VRAI,VRAI,Bio et Ecologie,Crèmerie,True,1.57,6.28 € / Kilogramme
1351,3329770063037,Yaourts à boire fraise YOPLAIT,YOPLAIT,Crémerie,"Yaourts, desserts et spécialités végétales",True,2.61,4.35 € / Kilogramme
1352,3033491213199,Yaourts à boire fraise ACTIMEL,ACTIMEL,Crémerie,"Yaourts, desserts et spécialités végétales",True,4.0,3.33 € / Kilogramme
1353,3033491216121,Yaourts à boire multifruits et pêche gelée royale ACTIMEL,ACTIMEL,Crémerie,"Yaourts, desserts et spécialités végétales",True,4.03,3.36 € / Kilogramme
1354,3033491213212,Yaourts à boire multifruits ACTIMEL,ACTIMEL,Crémerie,"Yaourts, desserts et spécialités végétales",True,3.05,3.81 € / Kilogramme
1355,3033491216138,Yaourts à boire framboise & fruits des bois ACTIMEL,ACTIMEL,Crémerie,"Yaourts, desserts et spécialités végétales",True,4.03,3.36 € / Kilogramme
1356,3273220540886,Yaourts bio lait de chèvre vanille VRAI,VRAI,Bio et Ecologie,Crèmerie,True,1.68,6.72 € / Kilogramme
1357,3273220540015,Yaourts bio lait de brebis nature VRAI,VRAI,Bio et Ecologie,Crèmerie,True,1.35,5.40 € / Kilogramme
1358,3273220540695,Yaourts bio de brebis vanille VRAI,VRAI,Bio et Ecologie,Crèmerie,True,1.55,6.20 € / Kilogramme
1359,3273220530375,Yaourts bio nature 0% VRAI,VRAI,Bio et Ecologie,Crèmerie,True,1.25,2.50 € / Kilogramme
1360,3245390221728,Beurre d'Isigny AOP de baratte demi-s REFLETS DE FRANCE,REFLETS DE FRANCE,Crémerie,Beurres et margarines,True,2.25,9.00 € / Kilogramme
1361,3252920011759,Beurre demi-sel LE GALL,LE GALL,Crémerie,Beurres et margarines,True,2.47,9.88 € / Kilogramme
1362,3278310007140,Beurre bio moulé demi sel LE HAMEAU,REFS.SANS MARQUE,Bio et Ecologie,Crèmerie,True,2.5,10.00 € / Kilogramme
1363,3278310002305,Beurre demi-sel MA PAYSANNE,REFS.SANS MARQUE,Crémerie,Beurres et margarines,True,2.4,9.60 € / Kilogramme
1364,3278310002404,Beurre doux MA PAYSANNE,PAYSANNE,Crémerie,Beurres et margarines,True,2.4,9.60 € / Kilogramme
1365,3412290018233,Beurre demi-sel PAYSAN BRETON,PAYSAN BRETON,Crémerie,Beurres et margarines,True,2.35,9.40 € / Kilogramme
1366,3155250367063,Beurre doux PRESIDENT,PRESIDENT,Crémerie,Beurres et margarines,True,2.51,10.04 € / Kilogramme
1367,3228022000243,Beurre doux tendre Président,PRESIDENT,Crémerie,Beurres et margarines,True,1.52,12.16 € / Kilogramme
1368,3228022000250,Beurre tendre demi-sel PRESIDENT,PRESIDENT,Crémerie,Beurres et margarines,True,1.44,11.52 € / Kilogramme
1369,3331890002216,Beurre de baratte demi-sel ,MAILLARD,Crémerie,Beurres et margarines,True,2.1,8.40 € / Kilogramme
1370,3350180005003,Beurre baratte/demi-sel ,LA VIEUX VILLE,Crémerie,Beurres et margarines,True,5.55,11.10 € / Kilogramme
1371,3269010001019,Bleu au lait de vache LE PETIT RISSO,RISSOAN,Crémerie,Fromages,True,3.9,13.93 € / Kilogramme
1372,3560070967636,Boisson bio au soja CARREFOUR BIO,CARREFOUR BIO,Bio et Ecologie,Boissons,True,1.14,1.14 € / Litre
1373,3560071014094,Boisson bio à l'amande sans sucres ajoutés CARREFOUR BIO,CARREFOUR BIO,Bio et Ecologie,Boissons,True,1.69,1.69 € / Litre
1374,3560071182137,Boisson amande CARREFOUR,CRF CDM,Crémerie,"Lait, boissons lactées et végétales",True,1.56,1.56 € / Litre
1375,3229820129112,Boisson lait d'amande bio BJORG,BJORG,Bio et Ecologie,Boissons,True,2.57,2.57 € / Litre
1376,3229820784946,Boisson lait d'amande chocolat bio BJORG,BJORG,Bio et Ecologie,Boissons,True,3.07,3.07 € / Litre
1377,3229820181424,Boisson noisette bio BJORG,BJORG,Bio et Ecologie,Boissons,True,2.71,2.71 € / Litre
1378,3181550000225,Boisson lactée au cacao CACOLAC,CACOLAC,Crémerie,"Lait, boissons lactées et végétales",True,4.5,2.81 € / Litre
1379,3428274170026,Boisson caffe latte LACTEL,LACTEL,Crémerie,"Lait, boissons lactées et végétales",True,2.75,4.17 € / Litre
1380,3176571731012,Boisson lactée à la fraise CANDIA,CANDY'UP (3A ALLIANC,Crémerie,"Lait, boissons lactées et végétales",True,1.51,1.51 € / Litre
1381,3533630097159,Boisson lactée au chocolat Bio CANDY'UP,CANDY'UP (3A ALLIANC,Bio et Ecologie,Crèmerie,True,2.07,2.59 € / Litre
1382,3533630097234,Boisson lactée à la  fraise Bio CANDY'UP,CANDY'UP (3A ALLIANC,Bio et Ecologie,Crèmerie,True,2.07,2.59 € / Litre
1383,5711953007828,Boisson lactée au café STARBUCKS,STARBUCK,Crémerie,"Lait, boissons lactées et végétales",True,1.99,9.05 € / Litre
1384,5760466995894,Boisson lactée au café caramel STARBUCKS,STARBUCK,Crémerie,"Lait, boissons lactées et végétales",True,1.99,9.05 € / Litre
1385,5411188112709,Boisson végétale à l'amande sans sucre ALPRO,ALPRO,Crémerie,"Lait, boissons lactées et végétales",True,2.39,2.39 € / Litre
1386,5411188115366,Boisson végétale avoine ALPRO,ALPRO,Crémerie,"Lait, boissons lactées et végétales",True,1.99,1.99 € / Litre
1387,5411188110835,Boisson végétale à l'amande ALPRO,ALPRO,Crémerie,"Lait, boissons lactées et végétales",True,2.2,2.20 € / Kilogramme
