,EAN,product_name,brand,category,subcategory,purchasable,promotion_type,promo_description,best_quantity,price_per_unit,discounted_price,initial_price,difference,Start_Date,End_Date
50,3276551778638,Crevettes cuites 40/60 ASC FQC ,FILIERE QUALITE CARF,Viandes et Poissons,Poissonnerie,True,Vu en catalogue,soit 1 à 7.20€ au lieu de 7.20€,1,24.00 € / Kilogramme,7.2,7.2,0.0,2020-04-03T00:00:00+0200,2020-04-14T23:59:00+0200
51,3276559873663,Homard cuit d'Europe BQ ,CARREFOUR,Viandes et Poissons,Poissonnerie,True,A saisir !,soit 1 à 20.00€ au lieu de 20.00€,1,20.00 € / Pièce,20.0,20.0,0.0,2020-04-03T00:00:00+0200,2020-04-14T23:59:00+0200
52,3276550577683,Petits fours assortiment ,,Pains et Pâtisseries,Mon pâtissier,True,Vu en catalogue,soit 1 à 6.90€ au lieu de 6.90€,1,6.90 € / Pièce,6.9,6.9,0.0,2020-04-03T00:00:00+0200,2020-04-14T23:59:00+0200
53,3276550576464,Nid de Pâques café 6/8 parts ,,Pains et Pâtisseries,Mon pâtissier,True,PROMO : 30%,soit 1 à 7.63€ au lieu de 10.90€,1,7.63 € / Pièce,7.63,10.9,3.2700000000000005,2020-04-11T00:00:00+0200,2020-04-14T23:59:00+0200
54,3276550576310,Gâteau nid de Pâques praliné ,,Pains et Pâtisseries,Mon pâtissier,True,PROMO : 30%,soit 1 à 7.63€ au lieu de 10.90€,1,7.63 € / Pièce,7.63,10.9,3.2700000000000005,2020-04-11T00:00:00+0200,2020-04-14T23:59:00+0200
55,3523680401174,Framboisier 8/10 ,CARREFOUR,Pains et Pâtisseries,Mon pâtissier,True,Vu en catalogue,soit 1 à 14.50€ au lieu de 14.50€,1,12.72 € / Kilogramme,14.5,14.5,0.0,2020-04-03T00:00:00+0200,2020-04-14T23:59:00+0200
56,3523680256125,Mini gâteaux assortiment Lunch ,CARREFOUR,Pains et Pâtisseries,Mon pâtissier,True,A saisir !,soit 1 à 11.90€ au lieu de 11.90€,1,22.88 € / Kilogramme,11.9,11.9,0.0,2020-04-03T00:00:00+0200,2020-04-14T23:59:00+0200
57,3276550576471,Nid de Pâques chocolat 6/8 parts ,,Pains et Pâtisseries,Mon pâtissier,True,PROMO : 30%,soit 1 à 7.63€ au lieu de 10.90€,1,7.63 € / Pièce,7.63,10.9,3.2700000000000005,2020-04-11T00:00:00+0200,2020-04-14T23:59:00+0200
58,3662517059413,Entremets œuf charlotte poire choco 6/8 p ,REFS.SANS MARQUE,Pains et Pâtisseries,Mon pâtissier,True,Vu en catalogue,soit 1 à 12.90€ au lieu de 12.90€,1,17.43 € / Kilogramme,12.9,12.9,0.0,2020-04-03T00:00:00+0200,2020-04-14T23:59:00+0200
59,3276552846879,Entremet œuf charlotte poire chocolat 6/8 p ,CARREFOUR,Pains et Pâtisseries,Mon pâtissier,True,Vu en catalogue,soit 1 à 12.90€ au lieu de 12.90€,1,12.90 € / Pièce,12.9,12.9,0.0,2020-04-03T00:00:00+0200,2020-04-14T23:59:00+0200
